id,LoanNr_ChkDgt,Name,City,State,Bank,BankState,ApprovalDate,ApprovalFY,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,Accept
a31a41a00b1,1303765009,"BAKER STREET VENTURES, INC. DB",PHILADELPHIA,PA,CITIZENS BANK NATL ASSOC,RI,16-May-05,2005,10,1.0,0,10,1,1,N,N,31-May-05,"$99,613.00 ",$0.00 ,1
b8378f07037,7777774004,"PALMER INSULATION, INC",PRIMOS,PA,CITIZENS BANK NATL ASSOC,RI,8-Sep-04,2004,1,1.0,0,1,1,1,Y,N,30-Sep-04,"$257,757.00 ",$0.00 ,0
0443358df7e,7617673003,ORTHOPAEDIC & SPORTS PHYSICAL,NORTH WALES,PA,"TD BANK, NATIONAL ASSOCIATION",PA,27-Sep-94,1994,1,2.0,0,0,1,0,N,N,30-Apr-95,"$90,000.00 ",$0.00 ,1
7c8c88f7a83,3856565007,REDSTAR IRON WORKS,PITTSBURGH,PA,DOLLAR BANK A FED. SAVINGS BK,PA,14-Jan-10,2010,6,1.0,0,6,0,1,N,N,1-Feb-10,"$24,700.00 ",$0.00 ,1
0d10159de9b,4942354008,DR. EDMUND NED KOTULA DMD,READING,PA,VIST BANK,PA,26-Sep-01,2001,5,1.0,0,0,1,1,0,Y,31-Dec-01,"$150,000.00 ",$0.00 ,1
e34003b3bf2,1834466008,PREAP'S SUSHI,PITTSBURGH,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,24-Apr-06,2006,2,1.0,0,2,1,1,0,N,31-May-06,"$50,000.00 ",$0.00 ,1
34fa359b879,1118535008,Strickler Enterprises,WERNERSVILLE,PA,SANTANDER BANK NATL ASSOC,DE,3-Dec-04,2005,9,1.0,0,0,1,2,N,N,31-Dec-04,"$280,000.00 ",$0.00 ,1
ce7d53248dc,5350604001,"CAVANAUGH WALLCOVERING, INC.",EXTON,PA,SUSQUEHANNA BANK,PA,19-Apr-02,2002,30,1.0,0,0,1,1,0,Y,31-May-02,"$150,000.00 ",$0.00 ,1
9d4a4e96ae4,5576034010,"UNIVERSAL RESTORATION SYSTEMS,",LIONVILLE,PA,SUSQUEHANNA BANK,PA,31-Jul-02,2002,19,1.0,0,0,1,1,0,Y,31-Aug-02,"$70,000.00 ",$0.00 ,1
ba8aefdc0a9,7664923009,"CATHY ANN MEGELLA, VMD",MCKEES ROCKS,PA,BNY MELLON NATL ASSOC,PA,12-Oct-94,1995,2,2.0,0,0,1,0,N,Y,31-Jan-95,"$55,000.00 ",$0.00 ,1
6ae8c9fd52f,1056216006,KISSEL CLEANERS INC,LITITZ,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,17-Feb-06,2006,5,1.0,0,5,1,2,Y,N,31-Mar-06,"$71,250.00 ",$0.00 ,1
3785f3140f3,4780823007,"DR. LEONARD A. WINEGRAD, LTD.",WILLOW GROVE,PA,WELLS FARGO BANK NATL ASSOC,PA,2-Apr-92,1992,8,1.0,0,0,1,0,N,N,30-Apr-92,"$140,000.00 ",$0.00 ,1
f80eb388ff7,7937483004,"BIEBER & ASSOCIATES, INC.",MOOSIC,PA,FIDELITY DEPOSIT & DISCOUNT BK,PA,23-Dec-94,1995,20,1.0,0,0,1,0,N,Y,31-Jan-95,"$20,000.00 ",$0.00 ,1
4f0f7e9f775,7383684009,NEWTOWN SPEED & PERFORMANCE,NEWTOWN,PA,CITIZENS BANK NATL ASSOC,RI,26-Apr-04,2004,1,1.0,0,1,1,1,Y,N,31-May-04,"$46,859.00 ",$0.00 ,0
c0d80125bcc,8212993001,MARINE AQUARIUM AND PET SHOP,HAVERTOWN,PA,CITIZENS BANK OF PENNSYLVANIA,PA,29-Mar-95,1995,2,1.0,0,0,1,2,N,Y,31-Oct-95,"$25,000.00 ",$0.00 ,1
42000c0a265,1906914009,MASON'S GROCERY STORE,PHILADELPHIA,PA,HSBC BK USA NATL ASSOC,VA,16-Mar-98,1998,2,1.0,0,0,1,0,N,Y,31-Mar-98,"$50,000.00 ",$0.00 ,1
7013d0477c3,3923484001,SHAFFER DESOUZA BROWN INC AND,HAVERFORD,PA,"TD BANK, NATIONAL ASSOCIATION",NJ,31-Aug-00,2000,28,1.0,0,28,1,1,0,N,30-Sep-00,"$150,000.00 ",$0.00 ,1
7f79defb0b6,3812554006,WILLIAMS & WILLMAN LINE PAINTI,KITTANNING,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,27-Jun-00,2000,13,1.0,0,0,1,2,N,N,31-Dec-00,"$80,984.00 ",$0.00 ,1
cd3e715ecf7,3188386001,TYLER J STEPHENS,CURWENSVILLE,PA,CNB BANK,PA,7-Mar-08,2008,1,2.0,1,0,1,2,0,N,31-Mar-08,"$30,000.00 ",$0.00 ,1
8feac9710fe,7674884010,TRETTER MANUFACTURING COMPANY,ALLENTOWN,PA,SUSQUEHANNA BANK,PA,6-Aug-04,2004,4,1.0,4,4,1,1,Y,N,31-Aug-04,"$50,485.00 ",$0.00 ,1
2937893b8b3,6741714001,DST & ASSOCIATES INC,DOYLESTOWN,PA,SANTANDER BANK NATL ASSOC,DE,30-Sep-03,2003,10,1.0,10,0,19755,1,0,N,31-Jan-04,"$75,000.00 ",$0.00 ,1
5a38a7f960d,1362025010,"Michael's Classic Limousine, I",West Reading,PA,MANUFACTURERS & TRADERS TR CO,MD,5-Jul-05,2005,11,1.0,0,11,0,1,Y,N,31-Jul-05,"$114,237.00 ",$0.00 ,0
9df117e6cbf,1564334000,SERVPRO OF LANGHORNE/BENSALEM,GLENSIDE,PA,WELLS FARGO BANK NATL ASSOC,PA,19-Sep-97,1997,3,2.0,0,0,73675,0,N,Y,28-Feb-98,"$37,500.00 ",$0.00 ,1
1e46f5b87cd,8769244003,MISSIONSTAFF LLC,PHILADELPHIA,PA,SUN NATIONAL BANK,NJ,6-Apr-05,2005,15,1.0,0,15,1,1,Y,N,30-Apr-06,"$275,000.00 ",$0.00 ,1
4de7bb52b33,2898305003,"Mandy's Pizza & More, Inc.",Sewickley,PA,FIRST NIAGARA BANK NATL ASSOC,NY,10-Jan-08,2008,15,1.0,5,10,0,2,Y,N,29-Feb-08,"$104,670.00 ",$0.00 ,1
6ba22cca5b6,4845214010,"FASSETT & ASSOCIATES, PC",GREENVILLE,PA,REGIONAL DEVEL FUNDING CORP,PA,22-Aug-01,2001,3,1.0,3,0,1,1,N,N,13-Feb-02,"$159,000.00 ",$0.00 ,1
1f1201a3ef0,3949624004,DAIRYLAND FAMILY RESTAURANT IN,RED LION,PA,METRO BANK,PA,15-Sep-00,2000,22,1.0,0,22,1,1,0,N,30-Sep-00,"$25,000.00 ",$0.00 ,1
4fca0a2e847,7722493010,"PROF PROPERTIES SERVICES, INC.",LANCASTER,PA,"PNC BANK, NATIONAL ASSOCIATION",PA,28-Oct-94,1995,3,1.0,0,0,1,0,N,Y,31-Jan-95,"$79,000.00 ",$0.00 ,1
cb126479aea,9878423006,"HENRY'S LAUNDRY, LINEN",GREENSBURG,PA,COMMERCIAL BANK & TRUST OF PA,PA,6-Jan-97,1997,2,1.0,0,0,1,0,N,Y,31-Jan-97,"$20,000.00 ",$0.00 ,1
db415f617cf,5766434002,REIGER CRANE RENTAL,HOUSTON,PA,CITIZENS BANK NATL ASSOC,RI,9-Oct-02,2003,12,1.0,0,12,1,1,Y,N,30-Sep-03,"$370,395.00 ",$0.00 ,1
f0000e0478c,8878594002,FOX'S PIZZA OF GIBSONIA,MONROEVILLE,PA,FIRST COMMONWEALTH BANK,PA,23-May-05,2005,2,2.0,4,2,31415,1,0,N,30-Jun-05,"$67,500.00 ",$0.00 ,0
f9b3aed6191,4574143003,"JEFFREY ALAN MARKS, D.P.M.",MECHANICSBURG,PA,BNY MELLON NATL ASSOC,PA,6-Sep-91,1991,2,2.0,0,0,1,0,N,N,31-Oct-91,"$46,500.00 ",$0.00 ,1
5dd1b36b66b,6772834005,A MARKWALTER LANDSCAPING,MATAMORAS,PA,CITIZENS BANK NATL ASSOC,RI,8-Oct-03,2004,2,1.0,0,2,1,2,0,N,31-Oct-03,"$20,000.00 ",$0.00 ,0
09fd2f24a42,1667585004,MALVERN PLASTICS GROUP CORPORA,MALVERN,PA,CITIZENS BANK NATL ASSOC,RI,16-Feb-06,2006,1,2.0,0,1,0,1,N,N,30-Apr-06,"$100,000.00 ",$0.00 ,1
a1a0bea5b99,3661014010,"BRYTON, INC.",HUNTINGDON,PA,FIRST COMMONWEALTH BANK,PA,28-Mar-00,2000,2,2.0,0,0,1,1,N,N,28-Nov-00,"$50,000.00 ",$0.00 ,1
4544d985b79,5466364003,DIGITAL MATRIX STUDIO INC,CHAMBERSBURG,PA,FIRST COMMONWEALTH BANK,PA,14-Jun-02,2002,1,1.0,0,1,1,1,0,N,31-Jul-02,"$13,000.00 ",$0.00 ,1
5e74bc6f4c4,7199584003,FITNESS CENTRAL INC,SCHNECKSVILLE,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,20-Feb-04,2004,5,1.0,3,8,1,1,Y,N,31-Mar-04,"$50,000.00 ",$0.00 ,1
ddd7e7471f7,8199594000,GMF TRUCKING,COMMODORE,PA,INDIANA 1ST SAVINGS BK D/B/A I,PA,30-Nov-04,2005,1,2.0,1,0,1,2,0,N,31-Dec-04,"$70,000.00 ",$0.00 ,1
fdd875627c1,4122843000,BROWNLEE'S NAT'L PIKE EXXON,CLAYSVILLE,PA,BNY MELLON NATL ASSOC,PA,6-Jun-90,1990,9,1.0,0,0,1,0,N,N,31-Jul-90,"$30,000.00 ",$0.00 ,1
c6e02e95828,5959874001,QUALITY ASSURANCE ASSOCIATES I,HORSHAM,PA,MANUFACTURERS & TRADERS TR CO,NY,19-Dec-02,2003,40,1.0,0,40,1,2,Y,N,31-Jan-03,"$250,000.00 ",$0.00 ,1
686ceb70c26,2219035004,Advanz Group Inc,PHILADELPHIA,PA,BANK OF AMERICA NATL ASSOC,NC,12-Jan-07,2007,2,2.0,0,2,0,1,N,N,31-Jan-07,"$5,000.00 ",$0.00 ,1
6ea32882c98,6775444001,RESTORE PHYSICAL THERAPY,MONESSEN,PA,CITIZENS BANK NATL ASSOC,RI,9-Oct-03,2004,1,1.0,0,1,1,1,Y,N,31-Dec-04,"$35,000.00 ",$0.00 ,1
99b61980e54,6148184007,QUINN-TESSENTIAL SCRAPBOOK STO,STATE COLLEGE,PA,"NITTANY BANK, A DIVISION OF",PA,5-Mar-03,2003,6,1.0,0,0,1,1,N,N,31-Mar-03,"$100,000.00 ",$0.00 ,1
c1b29f6af04,2620556010,BILLBROUGH MARGUERITE R PC,CRUM LYNNE (LEIPERVILLE),PA,SOUTH EASTERN ECONOMIC DEVEL C,PA,10-Jan-07,2007,10,1.0,4,10,1,1,0,N,12-Sep-07,"$1,385,000.00 ",$0.00 ,1
f80ee9d0c17,3661146006,YOGI BEAR'S JELLYSTONE PARK CA,TUNKHANNOCK,PA,PEOPLES SECURITY BK & TR CO,PA,16-Jan-09,2009,2,1.0,0,2,91110,1,0,N,30-Sep-09,"$700,000.00 ",$0.00 ,1
5ba2e3f191a,6254044004,HEARING HEALTH PROFESSIONALS I,FLOURTOWN,PA,CITIZENS BANK NATL ASSOC,RI,17-Apr-03,2003,3,1.0,0,3,1,1,Y,N,30-Jun-03,"$24,890.00 ",$0.00 ,1
c4c270a58e3,7426214009,CHEWS,BELLE VERNON,PA,CITIZENS BANK NATL ASSOC,RI,11-May-04,2004,2,1.0,0,2,1,1,Y,N,31-Aug-05,"$100,000.00 ",$0.00 ,1
0985cb15b62,7714404001,DOLLAR WAY INC,PHILADELPHIA,PA,CITIZENS BANK NATL ASSOC,RI,19-Aug-04,2004,4,1.0,0,4,1,1,Y,N,31-Oct-04,"$190,432.00 ",$0.00 ,1
c4db1319416,3462703006,MAHONING COURT MOTEL,LEHIGHTON,PA,WELLS FARGO BANK NATL ASSOC,SD,19-Jun-89,1989,1,2.0,0,0,0,0,N,N,31-Jul-89,"$1,000,000.00 ",$0.00 ,1
cae8305199d,5247304007,PINNACLE SPECIALTY CONTRACTOR,HARRISBURG,PA,METRO BANK,PA,1-Mar-02,2002,2,2.0,0,2,1,1,Y,N,30-Apr-02,"$70,223.00 ",$0.00 ,1
726ba8633aa,2700305009,"SZYMBORSKI, HELMS, SHARPLESS &",JAMISON,PA,CITIZENS BANK NATL ASSOC,RI,14-Sep-07,2007,2,1.0,0,2,0,1,Y,N,31-Oct-07,"$113,463.00 ",$0.00 ,0
369ec749954,6647744003,MCCARDLE & DESANDRE INC,BLAKESLEE,PA,CITIZENS BANK NATL ASSOC,RI,3-Sep-03,2003,2,1.0,0,2,1,1,Y,N,30-Sep-03,"$20,000.00 ",$0.00 ,1
92bd9e98bf5,5587484000,"KEYSTONE SPECIALTY PRODUCTS, I",RENO,PA,FARMERS NATL BK OF EMLENTON,PA,5-Aug-02,2002,10,2.0,0,0,1,2,N,N,30-Sep-02,"$256,000.00 ",$0.00 ,1
2da7968683a,1330374009,MADD MUSIC,SCRANTON,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,9-Jun-97,1997,1,1.0,0,0,1,0,0,N,31-May-98,"$15,000.00 ",$0.00 ,1
c41be959977,1413164000,ALLEGHENY ART SUPPLY CO. INC.,JENKINTOWN,PA,WELLS FARGO BANK NATL ASSOC,PA,14-Jul-97,1997,4,1.0,0,0,1,0,Y,N,31-Aug-97,"$51,420.00 ",$0.00 ,1
3fcd60f218b,1017755005,"Kid Inspired, Inc.",Canonsburg,PA,"PNC BANK, NATIONAL ASSOCIATION",PA,25-Jun-04,2004,5,2.0,0,0,50040,2,N,N,31-Aug-04,"$125,000.00 ",$0.00 ,1
492464fb55a,4333724006,MCFARLAND ROD COMPANY,TYRONE,PA,FIRST COMMONWEALTH BANK,PA,26-Feb-01,2001,4,1.0,0,0,1,2,0,Y,31-Mar-01,"$59,593.00 ",$0.00 ,0
2b672ef9f61,1510404002,"HENRY'S LAUNDRY, DRY CLEANING",GREENSBURG,PA,COMMERCIAL BANK & TRUST OF PA,PA,26-Aug-97,1997,6,1.0,0,0,1,0,N,Y,30-Sep-97,"$80,000.00 ",$0.00 ,1
84243ca2bb3,3386056008,"GLASS FLAGG, INC.",CHAMBERSBURG,PA,COMMUNITY FIRST CAPITAL CORP,PA,13-Aug-08,2008,3,1.0,2,1,1,2,Y,N,31-Jan-09,"$22,500.00 ",$0.00 ,0
f80ce164e19,2266303002,BROCOLI GARDEN,SCRANTON,PA,WELLS FARGO BANK NATL ASSOC,SD,2-Jul-85,1985,1,2.0,0,0,0,0,N,N,1-Aug-85,"$80,000.00 ",$0.00 ,0
7f19913b236,6949644003,FULLARD ENVIRONMENTAL CONTROLS,FORD CITY,PA,FIRST NATL BK OF PENNSYLVANIA,PA,21-Nov-03,2004,2,1.0,0,0,1,2,N,N,29-Feb-04,"$150,000.00 ",$0.00 ,1
6ccbd55f292,4638803000,"ERIE PETROLEUM, INC.",ERIE,PA,"PNC BANK, NATIONAL ASSOCIATION",PA,22-Nov-91,1992,105,1.0,0,0,1,0,N,N,31-Jan-92,"$259,719.00 ",$0.00 ,1
9a7d39b3666,7319914001,CHICK-N-FISH,PHILADELPHIA,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,1-Apr-04,2004,12,2.0,12,12,1,1,Y,N,31-Oct-04,"$213,500.00 ",$0.00 ,1
443bfe0129d,8052384002,YEAGER TRANSPORTATION INC,BURGETTSTOWN,PA,CITIZENS BANK NATL ASSOC,RI,4-Nov-04,2005,4,1.0,1,5,1,1,Y,N,28-Feb-06,"$110,580.00 ",$0.00 ,1
8ed66120cbb,5660494000,MONTGOMERY COUNTY REHABILITATI,ROSEMONT,PA,CITIZENS BANK NATL ASSOC,RI,30-Aug-02,2002,17,1.0,0,17,1,1,Y,N,30-Jun-03,"$190,315.00 ",$0.00 ,1
a9e97923520,6383904009,TED VENESKY COMPANY,TARENTUM,PA,CITIZENS BANK NATL ASSOC,RI,6-Jun-03,2003,3,1.0,0,3,1,1,Y,N,31-Jan-04,"$35,100.00 ",$0.00 ,1
263a22e2362,7721753003,"VKB, INC. D/B/A DUNKIN' DONUTS",PHILADELPHIA,PA,HSBC BK USA NATL ASSOC,PA,28-Oct-94,1995,18,2.0,0,0,25650,0,N,N,31-Jan-95,"$240,000.00 ",$0.00 ,1
fb532ca3eb2,2054105002,ROBERT E LEE JR DBA ROBERT E L,GRAMPIAN,PA,"PNC BANK, NATIONAL ASSOCIATION",PA,4-Oct-06,2007,1,2.0,0,1,0,1,N,N,31-Oct-06,"$113,000.00 ",$0.00 ,1
0c97cc9b07d,8963854002,WELLNES COACHES USA,BLUE BELL,PA,FIRSTRUST SAVINGS BANK,PA,1-Jul-05,2005,24,2.0,10,24,1,2,Y,N,31-Mar-06,"$150,000.00 ",$0.00 ,1
a71a683ef6b,3526335005,Tall Pines Builders,COCHRANTON,PA,"SUPERIOR FINANCIAL GROUP, LLC",CA,20-Jul-09,2009,2,1.0,0,2,0,1,N,N,31-Jul-09,"$5,000.00 ",$0.00 ,0
c15c6765de1,6490534000,ALTERNATIVE MECHANICAL INC,WYOMISSING,PA,NATIONAL PENN BANK,PA,14-Jul-03,2003,5,1.0,3,5,1,1,0,N,30-Sep-03,"$75,000.00 ",$0.00 ,1
f22d441d838,6200464006,GRAHAM & GRAHAM INC,SEWICKLEY,PA,CITIZENS BANK NATL ASSOC,RI,26-Mar-03,2003,20,1.0,62,82,1,1,Y,N,31-Jul-03,"$25,154.00 ",$0.00 ,1
0c8e4862aaa,6432984008,LEYDIG TRUE VALUE HARDWARE,HOLIDAYSBURG,PA,SUSQUEHANNA BANK,PA,23-Jun-03,2003,3,2.0,0,0,84025,1,N,N,30-Sep-03,"$225,000.00 ",$0.00 ,1
c1d004bd76b,4035914006,PENNZOIL 10 MNUTE OIL CHANGE,ALTOONA,PA,FIRST COMMONWEALTH BANK,PA,31-Oct-00,2001,6,1.0,1,1,1,1,0,N,30-Nov-00,"$110,000.00 ",$0.00 ,0
9589fb8b722,2922015000,HOME INSTEAD SENIOR OF LEBANON,PALMYRA,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,25-Jan-08,2008,22,2.0,22,22,0,1,N,N,29-Feb-08,"$35,000.00 ",$0.00 ,1
aead15ced19,6374834010,ULTRA MOTORS,VERONA,PA,CITIZENS BANK NATL ASSOC,RI,4-Jun-03,2003,3,1.0,2,5,1,1,Y,N,31-Aug-03,"$52,589.00 ",$0.00 ,1
c8d4646cc7c,5844514009,LATROBE MASONARY RESTORATION C,LATROBE,PA,CITIZENS BANK NATL ASSOC,RI,6-Nov-02,2003,6,1.0,0,6,1,1,Y,N,31-Jan-05,"$35,100.00 ",$0.00 ,1
fe08fc0439f,1353625000,REAL ESTAET INSPECTION SERVICE,ERIE,PA,CITIZENS BANK NATL ASSOC,RI,27-Jun-05,2005,1,1.0,0,1,0,1,N,N,31-Aug-05,"$36,000.00 ",$0.00 ,0
1ac7594a807,4448283009,"AMEROLA, INC.",PITTSBURGH,PA,"PNC BANK, NATIONAL ASSOCIATION",PA,7-May-91,1991,8,1.0,0,0,1,0,N,N,31-Jul-91,"$150,000.00 ",$0.00 ,1
8b85de5aae3,6129554005,ALPHA OMEGA CLAIMS ADMINISTRAT,CARLISLE,PA,CITIZENS BANK NATL ASSOC,RI,26-Feb-03,2003,3,1.0,0,3,1,2,Y,N,31-Oct-03,"$8,978.00 ",$0.00 ,1
ac3d2b6dea8,6742314001,C & W AUTOMOTIVE & REPAIR SHOP,PITTSBURGH,PA,CITIZENS BANK OF PENNSYLVANIA,PA,30-Sep-03,2003,4,1.0,0,4,1,1,0,N,31-Oct-03,"$10,000.00 ",$0.00 ,1
e4780f5c2be,6667754003,RICH'S AUTO REPAIR & TOWING,WAYMART,PA,CAPITAL ONE NATL ASSOC,VA,9-Sep-03,2003,2,1.0,1,2,1,1,0,N,31-Jan-04,"$25,000.00 ",$0.00 ,0
97f1ad8f94d,1760104009,CURTIS EQUIPMENT AND LANDSCAPE,MORRISVILLE,PA,WELLS FARGO BANK NATL ASSOC,PA,29-Dec-97,1998,6,1.0,0,0,1,0,Y,N,31-Mar-98,"$35,000.00 ",$0.00 ,1
e1c7e477262,3872794010,COLLEGE RENT-A-FRIDGE,HARRISON CITY,PA,GE CAP. SMALL BUS. FINAN CORP,TX,3-Aug-00,2000,1,1.0,0,1,1,1,0,N,31-Aug-00,"$1,050,000.00 ",$0.00 ,0
bd3bab1c94f,2885445000,"KERR SERVICES, LLC.",BUTLER,PA,CITIZENS BANK OF PENNSYLVANIA,PA,28-Dec-07,2008,1,1.0,0,1,0,1,Y,N,31-Aug-08,"$22,778.00 ",$0.00 ,1
5086cd4662c,5888004000,VARTECH METAL SPECIALIST INC,ERIE,PA,CITIZENS BANK NATL ASSOC,RI,21-Nov-02,2003,2,1.0,0,2,1,1,Y,N,31-Dec-02,"$206,889.00 ",$0.00 ,1
c3092b9730b,3484794008,BREEZEWOOD INC,REYNOLDSVILLE,PA,FIRST COMMONWEALTH BANK,PA,20-Dec-99,2000,1,2.0,2,1,1,1,N,N,31-Jan-00,"$41,184.00 ",$0.00 ,1
34841325256,8214494004,TAYLOR'S BOBCAT EXCAVATING,MEADVILLE,PA,BBCN BANK,CA,2-Dec-04,2005,2,1.0,4,2,1,1,0,N,31-Dec-04,"$5,000.00 ",$0.00 ,1
9c9c4756ed6,8655933004,PERFECT IMAGE CUSTOM,LANCASTER,PA,"PNC BANK, NATIONAL ASSOCIATION",PA,14-Sep-95,1995,8,1.0,0,0,1,0,N,N,31-Jan-96,"$95,000.00 ",$0.00 ,1
945b05938e3,2408374004,"QUINN & ASSOCIATES, INC.",STATE COLLEGE,PA,FIRST COMMONWEALTH BANK,PA,23-Oct-98,1999,4,2.0,0,4,1,0,0,N,31-Dec-98,"$100,000.00 ",$0.00 ,1
4a8f4eca216,7622974000,THE GREAT STEAK & POTATO,GREENSBURG,PA,CITIZENS BANK NATL ASSOC,RI,19-Jul-04,2004,12,1.0,0,12,1,1,Y,N,31-Mar-05,"$7,000.00 ",$0.00 ,0
21ab485c6b3,7575784009,SIMPLE TECHNOLOGIES CORPORATIO,SOUTHAMPTON (PC RR NAME STREET,PA,CITIZENS BANK NATL ASSOC,RI,1-Jul-04,2004,2,1.0,0,2,1,1,T,N,30-Apr-06,"$2,500.00 ",$0.00 ,0
6f2650d5758,3777774006,DESERT MOON CAFE,NEWTOWN HEIGHTS,PA,"TD BANK, NATIONAL ASSOCIATION",DE,6-Jun-00,2000,1,2.0,5,0,23110,1,0,N,28-Feb-01,"$300,000.00 ",$0.00 ,1
